[128]
[113] 5 2 3
[109] 1 5 2 3 0 12 2 14
[149] 13 8 14 7 2 8 1 14
[10] 2 12 2 6 2 8 1 14
[43] 1 12 2 6 2 8 1 14
[74] 0 12 2 6 2 8 1 14
[45] 1 12 2 6 1 8 1 14
[76] 0 12 2 6 1 8 1 14
[56] 2 12 0 6 1 8 1 14
[106] 12 6 11 6 9 7 1 14
[91] 12 0 12 8 14 6 1 14
[29] 13 0 6 2 8 14 1 14
[56] 0 12 1 14 2 12 1 14
[79] 2 5 2 3 1 12 1 14
[109] 1 5 2 3 1 12 1 14
[56] 0 12 1 6 2 8 0 14
[56] 1 12 0 6 1 8 0 14
[22] 2 12 1 6 0 8 0 14
[55] 1 12 1 6 0 8 0 14
[86] 0 12 1 6 0 8 0 14
[149] 13 6 0 8 2 14 0 14
[119] 2 12 8 12 6 14 0 14
[29] 1 12 8 12 6 14 0 14
[106] 5 2 4 14 5 13 0 14
[79] 1 5 2 3 2 12 0 14
[109] 0 5 2 3 2 12 0 14
[45] 2 5 1 3 2 12 0 14
[76] 1 5 1 3 2 12 0 14
[1] 2 12 1 14 2 12 0 14
[65] 0 12 1 14 2 12 0 14
[22] 2 5 0 3 1 12 0 14
[55] 1 5 0 3 1 12 0 14
[86] 0 5 0 3 1 12 0 14
[22] 14 3 12 5 0 12 0 14
[79] 2 5 0 3 0 12 0 14
[109] 1 5 0 3 0 12 0 14
[106] 2 12 2 14 0 12 0 14
[11] 1 12 2 14 0 12 0 14
[2] 3 14 5 12 0 12 0 14
[86] 5 11 2 9 3 12 0 14
[139] 5 11 1 9 3 12 0 14
[0] 5 11 0 9 3 12 0 14
[10] 12 3 12 0 14 2 5 14
[22] 4 9 4 12 5 11 3 14
[55] 5 2 3 12 6 1 8 14
[86] 5 1 3 12 6 1 8 14
[139] 5 0 3 12 6 1 8 14
[22] 2 12 6 9 2 11 8 14
[55] 1 12 6 9 2 11 8 14
[86] 0 12 6 9 2 11 8 14
[56] 13 7 14 7 9 1 11 14
[29] 12 1 12 6 0 8 2 13
[66] 2 13 1 14 2 12 2 13
[91] 1 13 1 14 2 12 2 13
[2] 0 13 1 14 2 12 2 13
[40] 1 13 1 3 13 5 1 13
[65] 2 13 1 3 12 5 1 13
[1] 0 13 1 3 12 5 1 13
[106] 1 13 0 14 0 12 1 13
[11] 0 13 0 14 0 12 1 13
[40] 3 13 5 1 5 1 3 13
[139] 12 2 12 0 6 2 8 13
[0] 12 1 12 0 6 2 8 13
[65] 2 13 7 11 8 9 8 13
[1] 0 13 7 11 8 9 8 13
[56] 12 9 1 11 7 12 7 13
[56] 9 12 1 11 7 12 7 13
[106] 12 8 2 14 0 13 6 13
[106] 3 12 8 14 5 13 6 13
[40] 3 13 8 13 5 13 6 13
[106] 5 12 8 14 3 13 6 13
[40] 6 1 8 1 8 13 6 13
[110] 12 2 6 2 7 12 6 13
[139] 12 1 6 0 7 12 6 13
[0] 12 0 6 0 7 12 6 13
[64] 2 12 6 0 7 12 6 13
[97] 1 12 6 0 7 12 6 13
[0] 0 12 6 0 7 12 6 13
[45] 1 14 1 13 0 13 0 12
[76] 0 14 1 13 0 13 0 12
[2] 5 9 5 11 5 14 5 12
[119] 1 12 0 14 3 14 5 12
[29] 0 12 0 14 3 14 5 12
[40] 4 10 5 14 3 10 4 12
[138] 5 1 5 2 3 2 5 1 4
[148] 5 12 8 12 6 13 5 1 4
[148] 5 1 5 1 14 5 12 1 4
[129] 5 0 5 1 14 4 12 1 4
[138] 12 2 14 4 11 2 9 0 4
[148] 5 1 5 10 6 9 8 9 4
[138] 13 0 6 2 8 13 5 2 3
[129] 4 1 14 4 12 1 3 2 3
[138] 4 1 14 3 12 1 3 1 3
[148] 4 1 3 0 5 0 3 1 3
[138] 4 11 6 11 8 10 3 1 3
[138] 4 1 3 13 8 14 6 14 3
